City, Center, Street intersection, Latitude, Longitude
Kitchener, , King & Gaukel, 43.45116514320735, -80.49251978500772
Kitchener, , King & Victoria, 43.45281567737296, -80.49833279176819
Kitchener, , King & Weber, 43.42991767321364, -80.43638163589175
Kitchener, Belmont, Belmont & Claremont, 43.45339215263489, -80.5181484636321
Kitchener, , Victoria & Frederick, 43.46624482155773, -80.45818016850887
Kitchener, , Conestoga College Welcom Center, 43.39138417173436, -80.40535149883208
Kitchener, Farmers Market, , 43.447674437937096, -80.48389539321035
Kitchener, , Ottawa & Courtland, 43.437038786276666, -80.47705564546419
Kitchener, , Strassurg &  Bleams, 43.40674259009868, -80.4745911923006
Kitchener, , Sportsworld & King, 43.40956281642396, -80.39822041754168
Waterloo, , King & Willis, 43.46364237086816, -80.52208476115243
Waterloo, , King & Columbia, 43.481787301830785, -80.52622830066424
Waterloo, , King & Weber, 43.485408353174776, -80.52665198975883
Waterloo, , King & Northfield, 43.5014469315569, -80.5334095534401
Waterloo, Grey Silo, , 43.522015036419816, -80.49591590106604
Waterloo, University of Waterloo Visitor Center, , 43.46905699436826, -80.54018403467326
Waterloo, , Spur Line Trail & Roger, 43.46263524157387, -80.50702027150439
Waterloo, Laurier University, Albert & Seagram, 43.472127472816815, -80.52979965212984
St Jacobs, , King & Weber, 43.51361167062237, -80.55699683726091
St Jacobs, , King & Front, 43.540462039429855, -80.55349196256651
Cambridge, Galt, Water & Main, 43.35887095357059, -80.31544213818995
Cambridge, Preston, King & Eagle, 43.39867581096689, -80.36347006218362
Cambridge, Hespler, Queen & Guelph, 43.43150608420286, -80.31077477702604
