site_id, site_name
100015729, Iron Horse Trail - Cherry Street
100021132, Iron Horse Trail - Queen Street
100021131, Iron Horse Trail - Borden Street
300028392, Transit Hub Trail
300027683, Water Street @ King Street (DCN)
300036104, Margaret Ave at Maynard Ave
300026503, Joseph Street @ Victoria (DCN)
300029848, Ontario St @ King St (DCN)
300029847, Cedar St @ King St (DCN)
300020371, Mill to Grenville
100048458, Trans Canada Trail - Courtland @ on ramp
100048457, Trans-Canada Trail - Courtland Ave @ Hayward
300021993, Wilson Ave
100064212, Budd Park
